,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19
Species 1,8.8,17.6,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,0,0,0
Species 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0
Species 3,0,0,1.6,17.6,0,17.6,0,6.4,2.8,35.2,35.2,3.2,70.4,0,1.6,0,61.6,0,1.6
Species 4,17.6,17.6,13.2,17.6,0.4,0,0,26.4,22,8.8,8.8,0,0.4,35.2,1.6,0.8,0,7.6,8.4
Species 5,0,0.8,13.2,0.4,0.4,0,0,52.8,0.4,0.8,1.2,0.4,70.4,8.8,8.8,0,0,0,1.6
Species 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 7,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0
Species 8,0,0,0,0,0.8,0,0,0,0,0,0,4.4,0,0,0,0.8,0,0,2.4
Species 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 13,0,0,0,0,30.8,0,0,0,0,140.8,44,0,17.6,35.2,0,0,0,0,0
Species 14,0,2.4,0,0,0,0,0,44,0,12.8,17.2,0,44.4,0,0,6.4,3.6,0,0
Species 15,0,0,35.2,171.6,0,0,0,3.2,88,2.4,211.2,0.8,422.4,228.8,26.4,96.8,44,88,2
Species 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.8,1.6
Species 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 19,0,0,17.6,22,0.8,0,3.2,0,0,0,0,0,0,0.4,1.2,0.4,0.8,0,0
Species 20,0,0,0.4,0,0.4,0,2,0.8,0,0,0,0,0,0,0,0,0,0,0
Species 21,0,0,0,0,0,22,0,0,0,0,0,0,44,0,5.2,0,26.4,0,0
Species 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 24,22,30.8,26.4,8.8,8.8,22,22,88,101.2,52.8,237.6,79.2,70.4,88,96.8,44,35.2,70.4,132
Species 25,35.2,74.8,127.6,189.2,26.4,22,57.2,105.6,184.8,26.4,572,74.8,88,255.2,96.8,176,123.2,88,211.2
Species 26,0.9103977,2.137096774,0.311332503,2.490272374,0,0,0.192381685,0,0,0,0,0,0,0,0,0,0.636942675,0,0
Species 27,0.479156684,0.887096774,0,0.622568093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 28,0.239578342,0.766129032,0.435865504,3.112840467,1.47601476,0,0.65409773,0,0,0.152905199,0,0,0,0,0,0,0,0,0.069252078
Species 29,0.431241016,0.483870968,0,1.634241245,0,0,0.230858022,0,0,0,0.363636364,0,0,0,0,0,0,0,0
Species 30,1.581217058,1.169354839,0.373599004,2.023346304,2.95202952,0,1.385148134,0,0,0.152905199,1.272727273,0,0.411522634,0,0,0,0,0,0.138504155
Species 31,0.431241016,0.080645161,0,0.311284047,0,0,0.115429011,0,0,0,0,0,0,0,0,0,0,0,0
Species 32,0.958313368,0,0,0.46692607,0,0,0.423239708,0,0,0,0,0,0,0,0,0,0,0,0
Species 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 34,0,0,0.498132005,0.46692607,4.05904059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species 35,1.916626737,1.572580645,1.494396015,1.245136187,0,0,3.693728357,0,0,0,0,0,0,0,0,0,0,0,0
Species 36,0.574988021,0.322580645,0,2.178988327,0,0,0.769526741,0,0,0,0,0,0,0,0,0,0,0,0
